Interaction ID,Customer ID,Date of Interaction,Interaction Type,Purpose of Interaction,Outcome of Interaction
126,161,12-10-2019,Chat,Feedback,Resolved
127,200,13-10-2019,Email,Inquiry,Resolved
128,200,13-10-2019,Call,Complaint,Resolved
129,60,03-11-2019,Chat,Feedback,Pending
130,65,04-11-2019,Email,Inquiry,Resolved
131,65,04-11-2019,Call,Complaint,Pending
132,65,04-11-2019,Chat,Feedback,Resolved
133,232,06-11-2019,Email,Inquiry,Resolved
134,293,08-11-2019,Call,Complaint,Resolved
135,293,08-11-2019,Chat,Feedback,Resolved
136,22,10-11-2019,Email,Inquiry,Pending
137,22,10-11-2019,Call,Complaint,Resolved
138,266,11-11-2019,Chat,Feedback,Pending
139,266,11-11-2019,Email,Inquiry,Resolved
140,230,04-12-2019,Call,Complaint,Resolved
141,248,08-12-2019,Email,Inquiry,Pending
142,207,11-12-2019,Call,Complaint,Resolved
143,58,12-12-2019,Chat,Feedback,Resolved
144,58,12-12-2019,Email,Inquiry,Escalated
145,58,12-12-2019,Call,Complaint,Resolved
146,58,12-12-2019,Email,Feedback,Resolved
147,58,12-12-2019,Chat,Inquiry,Pending
148,2,13-12-2019,Email,Feedback,Resolved
149,2,13-12-2019,Call,Complaint,Resolved
150,2,13-12-2019,Chat,Inquiry,Resolved
151,217,04-01-2020,Email,Feedback,Pending
152,281,05-01-2020,Call,Complaint,Resolved
153,295,06-01-2020,Chat,Feedback,Resolved
154,167,07-01-2020,Email,Inquiry,Resolved
155,32,08-01-2020,Call,Complaint,Pending
156,298,09-01-2020,Chat,Feedback,Resolved
157,298,09-01-2020,Email,Inquiry,Resolved
158,34,11-01-2020,Call,Complaint,Resolved
159,282,03-02-2021,Chat,Feedback,Pending
160,282,03-02-2021,Email,Inquiry,Resolved
161,282,03-02-2021,Call,Complaint,Pending
162,133,06-02-2021,Chat,Feedback,Resolved
163,133,06-02-2021,Email,Inquiry,Resolved
164,89,07-02-2021,Call,Complaint,Resolved
165,89,07-02-2021,Chat,Feedback,Resolved
166,50,09-02-2021,Email,Inquiry,Pending
167,139,10-02-2021,Call,Complaint,Resolved
168,139,10-02-2021,Chat,Feedback,Pending
169,139,10-02-2021,Email,Inquiry,Resolved
170,131,11-02-2021,Call,Complaint,Resolved
171,131,11-02-2021,Email,Inquiry,Pending
172,235,12-02-2021,Call,Complaint,Resolved
173,235,12-02-2021,Chat,Feedback,Resolved
174,235,12-02-2021,Email,Inquiry,Escalated
175,225,06-03-2021,Call,Complaint,Resolved
176,69,08-03-2021,Email,Feedback,Resolved
177,73,10-03-2021,Chat,Inquiry,Pending
178,268,11-03-2021,Email,Feedback,Resolved
179,268,11-03-2021,Call,Complaint,Resolved
180,162,12-03-2021,Chat,Inquiry,Resolved
181,163,13-03-2021,Email,Feedback,Pending
182,163,13-03-2021,Call,Complaint,Resolved
183,163,13-03-2021,Chat,Feedback,Resolved
184,80,17-03-2021,Email,Inquiry,Resolved
185,80,17-03-2021,Call,Complaint,Pending
186,250,03-04-2021,Chat,Feedback,Resolved
187,250,03-04-2021,Email,Inquiry,Resolved
188,250,03-04-2021,Call,Complaint,Resolved
189,250,03-04-2021,Chat,Feedback,Pending
190,97,04-04-2021,Email,Inquiry,Resolved
191,71,05-04-2021,Call,Complaint,Pending
192,71,05-04-2021,Chat,Feedback,Resolved
193,71,05-04-2021,Email,Inquiry,Resolved
194,71,05-04-2021,Call,Complaint,Resolved
195,160,07-04-2021,Chat,Feedback,Resolved
196,191,08-04-2021,Email,Inquiry,Pending
197,191,08-04-2021,Call,Complaint,Resolved
198,14,10-04-2021,Chat,Feedback,Pending
199,77,11-04-2021,Email,Inquiry,Resolved
200,259,12-04-2021,Call,Complaint,Resolved
201,3,04-05-2021,Email,Inquiry,Pending
202,3,04-05-2021,Call,Complaint,Resolved
203,258,05-05-2021,Chat,Feedback,Resolved
204,300,06-05-2021,Email,Inquiry,Escalated
205,300,06-05-2021,Call,Complaint,Resolved
206,105,07-05-2021,Email,Feedback,Resolved
207,164,09-05-2021,Chat,Inquiry,Pending
208,129,10-05-2021,Email,Feedback,Resolved
209,129,10-05-2021,Call,Complaint,Resolved
210,96,11-05-2021,Chat,Inquiry,Resolved
211,96,11-05-2021,Email,Feedback,Pending
212,17,12-05-2021,Call,Complaint,Resolved
213,150,13-05-2021,Chat,Feedback,Resolved
214,150,13-05-2021,Email,Inquiry,Resolved
215,150,13-05-2021,Call,Complaint,Pending
216,242,03-06-2021,Chat,Feedback,Resolved
217,242,03-06-2021,Email,Inquiry,Resolved
218,243,04-06-2021,Call,Complaint,Resolved
219,188,05-06-2021,Chat,Feedback,Pending
220,188,05-06-2021,Email,Inquiry,Resolved
221,233,07-06-2021,Call,Complaint,Pending
222,52,08-06-2021,Chat,Feedback,Resolved
223,52,08-06-2021,Email,Inquiry,Resolved
224,52,08-06-2021,Call,Complaint,Resolved
225,110,10-06-2021,Chat,Feedback,Resolved
226,110,10-06-2021,Email,Inquiry,Pending
227,142,11-06-2021,Call,Complaint,Resolved
228,142,11-06-2021,Chat,Feedback,Pending
229,142,11-06-2021,Email,Inquiry,Resolved
230,142,11-06-2021,Call,Complaint,Resolved
231,9,12-06-2021,Email,Inquiry,Pending
232,254,04-07-2021,Call,Complaint,Resolved
233,254,04-07-2021,Chat,Feedback,Resolved
234,254,04-07-2021,Email,Inquiry,Escalated
235,43,05-07-2021,Call,Complaint,Resolved
236,43,05-07-2021,Email,Feedback,Resolved
237,43,05-07-2021,Chat,Inquiry,Pending
238,39,07-07-2021,Email,Feedback,Resolved
239,86,08-07-2021,Call,Complaint,Resolved
240,48,09-07-2021,Chat,Inquiry,Resolved
241,146,10-07-2021,Email,Feedback,Pending
242,51,11-07-2021,Call,Complaint,Resolved
243,51,11-07-2021,Chat,Feedback,Resolved
244,51,11-07-2021,Email,Inquiry,Resolved
245,287,12-07-2021,Call,Complaint,Pending
246,287,12-07-2021,Chat,Feedback,Resolved
247,287,12-07-2021,Email,Inquiry,Resolved
248,241,03-08-2021,Call,Complaint,Pending
249,81,04-08-2021,Chat,Feedback,Resolved
250,81,04-08-2021,Email,Inquiry,Resolved
251,81,04-08-2021,Call,Complaint,Pending
252,228,06-08-2021,Chat,Feedback,Resolved
253,72,08-08-2021,Email,Inquiry,Resolved
254,72,08-08-2021,Call,Complaint,Pending
255,72,08-08-2021,Chat,Feedback,Resolved
256,72,08-08-2021,Email,Inquiry,Resolved
257,158,09-08-2021,Call,Complaint,Pending
258,158,09-08-2021,Chat,Feedback,Resolved
259,37,11-08-2021,Email,Inquiry,Resolved
260,37,11-08-2021,Call,Complaint,Pending
261,291,12-08-2021,Email,Inquiry,Pending
262,291,12-08-2021,Call,Complaint,Resolved
263,291,12-08-2021,Chat,Feedback,Resolved
264,109,03-09-2021,Email,Inquiry,Escalated
265,109,03-09-2021,Call,Complaint,Resolved
266,109,03-09-2021,Email,Feedback,Resolved
267,78,04-09-2021,Chat,Inquiry,Pending
268,78,04-09-2021,Email,Feedback,Resolved
269,183,05-09-2021,Call,Complaint,Resolved
270,183,05-09-2021,Chat,Inquiry,Resolved
271,276,07-09-2021,Email,Feedback,Pending
272,157,08-09-2021,Call,Complaint,Resolved
273,157,08-09-2021,Chat,Feedback,Resolved
274,157,08-09-2021,Email,Inquiry,Resolved
275,193,09-09-2021,Call,Complaint,Pending
276,193,09-09-2021,Chat,Feedback,Resolved
277,45,10-09-2021,Email,Inquiry,Resolved
278,153,11-09-2021,Call,Complaint,Pending
279,153,11-09-2021,Chat,Feedback,Resolved
280,87,12-09-2021,Email,Inquiry,Resolved
281,87,12-09-2021,Call,Complaint,Pending
282,87,12-09-2021,Chat,Feedback,Resolved
283,87,12-09-2021,Email,Inquiry,Resolved
284,134,04-10-2021,Call,Complaint,Pending
285,184,05-10-2021,Chat,Feedback,Resolved
286,184,05-10-2021,Email,Inquiry,Resolved
287,53,07-10-2021,Call,Complaint,Pending
288,53,07-10-2021,Chat,Feedback,Resolved
289,84,08-10-2021,Email,Inquiry,Resolved
290,84,08-10-2021,Call,Complaint,Pending
291,172,09-10-2021,Email,Inquiry,Pending
292,172,09-10-2021,Call,Complaint,Resolved
293,172,09-10-2021,Chat,Feedback,Resolved
294,128,10-10-2021,Email,Inquiry,Escalated
295,128,10-10-2021,Call,Complaint,Resolved
296,128,10-10-2021,Email,Feedback,Resolved
297,128,10-10-2021,Chat,Inquiry,Pending
298,128,10-10-2021,Email,Feedback,Resolved
299,128,10-10-2021,Call,Complaint,Resolved
300,123,11-10-2021,Chat,Inquiry,Resolved
301,123,11-10-2021,Email,Feedback,Pending
302,212,12-10-2021,Call,Complaint,Resolved
303,212,12-10-2021,Chat,Feedback,Resolved
304,212,12-10-2021,Email,Inquiry,Resolved
305,94,13-10-2021,Call,Complaint,Pending
306,94,13-10-2021,Chat,Feedback,Resolved
307,240,03-11-2021,Email,Inquiry,Resolved
308,240,03-11-2021,Call,Complaint,Pending
309,240,03-11-2021,Chat,Feedback,Resolved
310,240,03-11-2021,Email,Inquiry,Resolved
311,208,04-11-2021,Call,Complaint,Pending
312,208,04-11-2021,Chat,Feedback,Resolved
313,35,05-11-2021,Email,Inquiry,Resolved
314,63,06-11-2021,Call,Complaint,Pending
315,63,06-11-2021,Chat,Feedback,Resolved
316,63,06-11-2021,Email,Inquiry,Resolved
317,132,07-11-2021,Call,Complaint,Pending
318,132,07-11-2021,Chat,Feedback,Resolved
319,19,08-11-2021,Email,Inquiry,Resolved
320,19,08-11-2021,Call,Complaint,Pending
321,180,09-11-2021,Email,Inquiry,Pending
322,180,09-11-2021,Call,Complaint,Resolved
323,186,10-11-2021,Chat,Feedback,Resolved
324,186,10-11-2021,Email,Inquiry,Escalated
325,126,11-11-2021,Call,Complaint,Resolved
326,30,12-11-2021,Email,Feedback,Resolved
327,226,04-12-2021,Chat,Inquiry,Pending
328,198,05-12-2021,Email,Feedback,Resolved
329,198,05-12-2021,Call,Complaint,Resolved
330,198,05-12-2021,Chat,Inquiry,Resolved
331,198,05-12-2021,Email,Feedback,Pending
332,178,06-12-2021,Call,Complaint,Resolved
333,178,06-12-2021,Chat,Feedback,Resolved
334,137,07-12-2021,Email,Inquiry,Resolved
335,76,08-12-2021,Call,Complaint,Pending
336,76,08-12-2021,Chat,Feedback,Resolved
337,76,08-12-2021,Email,Inquiry,Resolved
338,219,09-12-2021,Call,Complaint,Pending
339,219,09-12-2021,Chat,Feedback,Resolved
340,219,09-12-2021,Email,Inquiry,Resolved
341,219,09-12-2021,Call,Complaint,Pending
342,294,10-12-2021,Chat,Feedback,Resolved
343,294,10-12-2021,Email,Inquiry,Resolved
344,165,11-12-2021,Call,Complaint,Pending
345,165,11-12-2021,Chat,Feedback,Resolved
346,165,11-12-2021,Email,Inquiry,Resolved
347,244,12-12-2021,Call,Complaint,Pending
348,244,12-12-2021,Chat,Feedback,Resolved
349,290,13-12-2021,Email,Inquiry,Resolved
350,290,13-12-2021,Call,Complaint,Pending
